Ekonomiskt bistånd, Utbetalt ekonomiskt bistånd inklusive introduktionsersättning, tusental kronor
Region;Inrikes­ eller utrikesfödda hushåll;Hushållstyp;2021;2022;2023;2024
Linköping;En av registerledare/sambo utrikesfödd;Ensamstående kvinna utan barn;43076;42846;45881;47773
Linköping;En av registerledare/sambo utrikesfödd;Ensamstående kvinna med barn;43478;43729;38949;39172
Linköping;En av registerledare/sambo utrikesfödd;Sammanboende par utan barn;410;377;92;885
Linköping;En av registerledare/sambo utrikesfödd;Sammanboende par med barn;1074;1232;1029;689
Linköping;Både registerledare/sambo utrikesfödda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Linköping;Både registerledare/sambo utrikesfödda;Ensamstående man utan barn;­­;­­;­­;­­
Linköping;Både registerledare/sambo utrikesfödda;Ensamstående man med barn;­­;­­;­­;­­
Linköping;Både registerledare/sambo utrikesfödda;Ensamstående kvinna utan barn;­­;­­;­­;­­
Linköping;Både registerledare/sambo utrikesfödda;Ensamstående kvinna med barn;­­;­­;­­;­­
Linköping;Både registerledare/sambo utrikesfödda;Sammanboende par utan barn;18135;18530;19271;19440
Linköping;Både registerledare/sambo utrikesfödda;Sammanboende par med barn;62771;62108;54879;49383
Linköping;Okänt;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;69;­­;6;­­
Linköping;Okänt;Ensamstående man utan barn;­­;­­;­­;­­
Linköping;Okänt;Ensamstående man med barn;­­;­­;­­;­­
Linköping;Okänt;Ensamstående kvinna utan barn;­­;­­;­­;­­
Linköping;Okänt;Ensamstående kvinna med barn;­­;­­;­­;­­
Linköping;Okänt;Sammanboende par utan barn;­­;­­;­­;­­
Linköping;Okänt;Sammanboende par med barn;­­;­­;­­;­­
Norrköping;Inrikes födda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Norrköping;Inrikes födda;Ensamstående man utan barn;37208;36511;40884;47309
Norrköping;Inrikes födda;Ensamstående man med barn;2884;2670;3856;4532
Norrköping;Inrikes födda;Ensamstående kvinna utan barn;21137;20436;22294;25664
Norrköping;Inrikes födda;Ensamstående kvinna med barn;8812;8510;9528;11291
Norrköping;Inrikes födda;Sammanboende par utan barn;1465;1162;943;1284
Norrköping;Inrikes födda;Sammanboende par med barn;2259;1888;1998;2346
Norrköping;En av registerledare/sambo utrikesfödd;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Norrköping;En av registerledare/sambo utrikesfödd;Ensamstående man utan barn;25009;22320;25032;26503
Norrköping;En av registerledare/sambo utrikesfödd;Ensamstående man med barn;4045;3008;2475;2666
Norrköping;En av registerledare/sambo utrikesfödd;Ensamstående kvinna utan barn;31130;30540;32404;34839
Norrköping;En av registerledare/sambo utrikesfödd;Ensamstående kvinna med barn;20977;19862;18959;19702
Norrköping;En av registerledare/sambo utrikesfödd;Sammanboende par utan barn;257;398;249;142
Norrköping;En av registerledare/sambo utrikesfödd;Sammanboende par med barn;764;492;599;566
Norrköping;Både registerledare/sambo utrikesfödda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Norrköping;Både registerledare/sambo utrikesfödda;Ensamstående man utan barn;­­;­­;­­;­­
Norrköping;Både registerledare/sambo utrikesfödda;Ensamstående man med barn;­­;­­;­­;­­
Norrköping;Både registerledare/sambo utrikesfödda;Ensamstående kvinna utan barn;­­;­­;­­;­­
Norrköping;Både registerledare/sambo utrikesfödda;Ensamstående kvinna med barn;­­;­­;­­;­­
Norrköping;Både registerledare/sambo utrikesfödda;Sammanboende par utan barn;17656;14864;12666;11644
Norrköping;Både registerledare/sambo utrikesfödda;Sammanboende par med barn;35190;31707;26821;24425
Norrköping;Okänt;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;43;24;­­
Norrköping;Okänt;Ensamstående man utan barn;­­;­­;­­;­­
Norrköping;Okänt;Ensamstående man med barn;­­;­­;­­;­­
Norrköping;Okänt;Ensamstående kvinna utan barn;­­;­­;­­;­­
Norrköping;Okänt;Ensamstående kvinna med barn;­­;­­;­­;­­
Norrköping;Okänt;Sammanboende par utan barn;­­;­­;­­;­­
Norrköping;Okänt;Sammanboende par med barn;­­;­­;­­;­­
Söderköping;Inrikes födda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Söderköping;Inrikes födda;Ensamstående man utan barn;3176;3074;3899;3937
Söderköping;Inrikes födda;Ensamstående man med barn;345;309;­­;­­
Söderköping;Inrikes födda;Ensamstående kvinna utan barn;1579;1876;1666;1883
Söderköping;Inrikes födda;Ensamstående kvinna med barn;1252;907;735;744
Söderköping;Inrikes födda;Sammanboende par utan barn;77;84;67;82
Söderköping;Inrikes födda;Sammanboende par med barn;139;138;11;12
Söderköping;En av registerledare/sambo utrikesfödd;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Söderköping;En av registerledare/sambo utrikesfödd;Ensamstående man utan barn;1682;1057;799;616
Söderköping;En av registerledare/sambo utrikesfödd;Ensamstående man med barn;137;143;140;67
Söderköping;En av registerledare/sambo utrikesfödd;Ensamstående kvinna utan barn;706;1043;851;1039
Söderköping;En av registerledare/sambo utrikesfödd;Ensamstående kvinna med barn;774;557;670;1354
Söderköping;En av registerledare/sambo utrikesfödd;Sammanboende par utan barn;­­;100;207;­­
Söderköping;En av registerledare/sambo utrikesfödd;Sammanboende par med barn;16;­­;­­;­­
Söderköping;Både registerledare/sambo utrikesfödda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Söderköping;Både registerledare/sambo utrikesfödda;Ensamstående man utan barn;­­;­­;­­;­­
Söderköping;Både registerledare/sambo utrikesfödda;Ensamstående man med barn;­­;­­;­­;­­
Söderköping;Både registerledare/sambo utrikesfödda;Ensamstående kvinna utan barn;­­;­­;­­;­­
Söderköping;Både registerledare/sambo utrikesfödda;Ensamstående kvinna med barn;­­;­­;­­;­­
Söderköping;Både registerledare/sambo utrikesfödda;Sammanboende par utan barn;523;338;566;307
Söderköping;Både registerledare/sambo utrikesfödda;Sammanboende par med barn;1959;2146;1054;636
Söderköping;Okänt;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Söderköping;Okänt;Ensamstående man utan barn;­­;­­;­­;­­
Söderköping;Okänt;Ensamstående man med barn;­­;­­;­­;­­
Söderköping;Okänt;Ensamstående kvinna utan barn;­­;­­;­­;­­
Söderköping;Okänt;Ensamstående kvinna med barn;­­;­­;­­;­­
Söderköping;Okänt;Sammanboende par utan barn;­­;­­;­­;­­
Söderköping;Okänt;Sammanboende par med barn;­­;­­;­­;­­
Motala;Inrikes födda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Motala;Inrikes födda;Ensamstående man utan barn;9747;10511;11152;11583
Motala;Inrikes födda;Ensamstående man med barn;1307;1629;2032;1735
Motala;Inrikes födda;Ensamstående kvinna utan barn;3974;4386;5164;5383
Motala;Inrikes födda;Ensamstående kvinna med barn;2522;3020;2875;2967
Motala;Inrikes födda;Sammanboende par utan barn;648;518;355;498
Motala;Inrikes födda;Sammanboende par med barn;685;404;591;507
Motala;En av registerledare/sambo utrikesfödd;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Motala;En av registerledare/sambo utrikesfödd;Ensamstående man utan barn;6496;5716;5363;4882
Motala;En av registerledare/sambo utrikesfödd;Ensamstående man med barn;656;442;215;464
Motala;En av registerledare/sambo utrikesfödd;Ensamstående kvinna utan barn;6029;6086;6031;7055
Motala;En av registerledare/sambo utrikesfödd;Ensamstående kvinna med barn;6098;6882;5999;6182
Motala;En av registerledare/sambo utrikesfödd;Sammanboende par utan barn;34;0;1;23
Motala;En av registerledare/sambo utrikesfödd;Sammanboende par med barn;140;140;124;165
Motala;Både registerledare/sambo utrikesfödda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Motala;Både registerledare/sambo utrikesfödda;Ensamstående man utan barn;­­;­­;­­;­­
Motala;Både registerledare/sambo utrikesfödda;Ensamstående man med barn;­­;­­;­­;­­
Motala;Både registerledare/sambo utrikesfödda;Ensamstående kvinna utan barn;­­;­­;­­;­­
Motala;Både registerledare/sambo utrikesfödda;Ensamstående kvinna med barn;­­;­­;­­;­­
Motala;Både registerledare/sambo utrikesfödda;Sammanboende par utan barn;1725;1737;1341;1499
Motala;Både registerledare/sambo utrikesfödda;Sammanboende par med barn;5292;5764;4935;4787
Motala;Okänt;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;4;­­
Motala;Okänt;Ensamstående man utan barn;­­;­­;­­;­­
Motala;Okänt;Ensamstående man med barn;­­;­­;­­;­­
Motala;Okänt;Ensamstående kvinna utan barn;­­;­­;­­;­­
Motala;Okänt;Ensamstående kvinna med barn;­­;­­;­­;­­
Motala;Okänt;Sammanboende par utan barn;­­;­­;­­;­­
Motala;Okänt;Sammanboende par med barn;­­;­­;­­;­­
Vadstena;Inrikes födda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Vadstena;Inrikes födda;Ensamstående man utan barn;1695;1601;1566;1280
Vadstena;Inrikes födda;Ensamstående man med barn;305;104;72;­­
Vadstena;Inrikes födda;Ensamstående kvinna utan barn;695;450;519;601
Vadstena;Inrikes födda;Ensamstående kvinna med barn;433;629;242;109
Vadstena;Inrikes födda;Sammanboende par utan barn;172;­­;9;0
Vadstena;Inrikes födda;Sammanboende par med barn;181;96;194;81
Vadstena;En av registerledare/sambo utrikesfödd;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Vadstena;En av registerledare/sambo utrikesfödd;Ensamstående man utan barn;741;962;777;796
Vadstena;En av registerledare/sambo utrikesfödd;Ensamstående man med barn;150;179;6;16
Vadstena;En av registerledare/sambo utrikesfödd;Ensamstående kvinna utan barn;487;420;319;310
Vadstena;En av registerledare/sambo utrikesfödd;Ensamstående kvinna med barn;821;1333;803;400
Vadstena;En av registerledare/sambo utrikesfödd;Sammanboende par utan barn;­­;­­;­­;­­
Vadstena;En av registerledare/sambo utrikesfödd;Sammanboende par med barn;­­;­­;­­;­­
Vadstena;Både registerledare/sambo utrikesfödda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Vadstena;Både registerledare/sambo utrikesfödda;Ensamstående man utan barn;­­;­­;­­;­­
Vadstena;Både registerledare/sambo utrikesfödda;Ensamstående man med barn;­­;­­;­­;­­
Vadstena;Både registerledare/sambo utrikesfödda;Ensamstående kvinna utan barn;­­;­­;­­;­­
Vadstena;Både registerledare/sambo utrikesfödda;Ensamstående kvinna med barn;­­;­­;­­;­­
Vadstena;Både registerledare/sambo utrikesfödda;Sammanboende par utan barn;539;446;95;39
Vadstena;Både registerledare/sambo utrikesfödda;Sammanboende par med barn;222;231;270;101
Vadstena;Okänt;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Vadstena;Okänt;Ensamstående man utan barn;­­;­­;­­;­­
Vadstena;Okänt;Ensamstående man med barn;­­;­­;­­;­­
Vadstena;Okänt;Ensamstående kvinna utan barn;­­;­­;­­;­­
Vadstena;Okänt;Ensamstående kvinna med barn;­­;­­;­­;­­
Vadstena;Okänt;Sammanboende par utan barn;­­;­­;­­;­­
Vadstena;Okänt;Sammanboende par med barn;­­;­­;­­;­­
Mjölby;Inrikes födda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Mjölby;Inrikes födda;Ensamstående man utan barn;6060;6154;6817;6969
Mjölby;Inrikes födda;Ensamstående man med barn;379;262;525;489
Mjölby;Inrikes födda;Ensamstående kvinna utan barn;3434;3412;4172;4937
Mjölby;Inrikes födda;Ensamstående kvinna med barn;1270;1349;1458;1648
Mjölby;Inrikes födda;Sammanboende par utan barn;315;204;126;73
Mjölby;Inrikes födda;Sammanboende par med barn;411;31;14;118
Mjölby;En av registerledare/sambo utrikesfödd;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Mjölby;En av registerledare/sambo utrikesfödd;Ensamstående man utan barn;2234;1983;1995;2109
Mjölby;En av registerledare/sambo utrikesfödd;Ensamstående man med barn;157;125;8;35
Mjölby;En av registerledare/sambo utrikesfödd;Ensamstående kvinna utan barn;2546;1994;2664;3274
Mjölby;En av registerledare/sambo utrikesfödd;Ensamstående kvinna med barn;1288;1353;1257;1317
Mjölby;En av registerledare/sambo utrikesfödd;Sammanboende par utan barn;248;376;266;230
Mjölby;En av registerledare/sambo utrikesfödd;Sammanboende par med barn;355;183;14;­­
Mjölby;Både registerledare/sambo utrikesfödda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Mjölby;Både registerledare/sambo utrikesfödda;Ensamstående man utan barn;­­;­­;­­;­­
Mjölby;Både registerledare/sambo utrikesfödda;Ensamstående man med barn;­­;­­;­­;­­
Mjölby;Både registerledare/sambo utrikesfödda;Ensamstående kvinna utan barn;­­;­­;­­;­­
Mjölby;Både registerledare/sambo utrikesfödda;Ensamstående kvinna med barn;­­;­­;­­;­­
Mjölby;Både registerledare/sambo utrikesfödda;Sammanboende par utan barn;603;860;1064;1138
Mjölby;Både registerledare/sambo utrikesfödda;Sammanboende par med barn;2175;1930;1980;2729
Mjölby;Okänt;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Mjölby;Okänt;Ensamstående man utan barn;­­;­­;­­;­­
Mjölby;Okänt;Ensamstående man med barn;­­;­­;­­;­­
Mjölby;Okänt;Ensamstående kvinna utan barn;­­;­­;­­;­­
Mjölby;Okänt;Ensamstående kvinna med barn;­­;­­;­­;­­
Mjölby;Okänt;Sammanboende par utan barn;­­;­­;­­;­­
Mjölby;Okänt;Sammanboende par med barn;­­;­­;­­;­­
Jönköpings län;Inrikes födda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Jönköpings län;Inrikes födda;Ensamstående man utan barn;67769;63937;66811;77337
Jönköpings län;Inrikes födda;Ensamstående man med barn;4283;3827;3673;3762
Jönköpings län;Inrikes födda;Ensamstående kvinna utan barn;36090;32806;35074;39479
Jönköpings län;Inrikes födda;Ensamstående kvinna med barn;13159;11905;11379;11836
Jönköpings län;Inrikes födda;Sammanboende par utan barn;2486;3305;3462;4543
Jönköpings län;Inrikes födda;Sammanboende par med barn;3070;2929;2814;3810
Jönköpings län;En av registerledare/sambo utrikesfödd;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Jönköpings län;En av registerledare/sambo utrikesfödd;Ensamstående man utan barn;57141;43940;45078;45610
Jönköpings län;En av registerledare/sambo utrikesfödd;Ensamstående man med barn;4521;3899;4541;4231
Jönköpings län;En av registerledare/sambo utrikesfödd;Ensamstående kvinna utan barn;47067;47512;48695;51879
Jönköpings län;En av registerledare/sambo utrikesfödd;Ensamstående kvinna med barn;29536;29025;29068;30663
Jönköpings län;En av registerledare/sambo utrikesfödd;Sammanboende par utan barn;884;615;754;1311
Jönköpings län;En av registerledare/sambo utrikesfödd;Sammanboende par med barn;1540;1296;1407;1655
Jönköpings län;Både registerledare/sambo utrikesfödda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Jönköpings län;Både registerledare/sambo utrikesfödda;Ensamstående man utan barn;­­;­­;­­;­­
Jönköpings län;Både registerledare/sambo utrikesfödda;Ensamstående man med barn;­­;­­;­­;­­
Jönköpings län;Både registerledare/sambo utrikesfödda;Ensamstående kvinna utan barn;­­;­­;­­;­­
Jönköpings län;Både registerledare/sambo utrikesfödda;Ensamstående kvinna med barn;­­;­­;­­;­­
Jönköpings län;Både registerledare/sambo utrikesfödda;Sammanboende par utan barn;14949;14212;13179;13436
Jönköpings län;Både registerledare/sambo utrikesfödda;Sammanboende par med barn;57885;49833;44122;46155
Jönköpings län;Okänt;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;155;52;96;55
Jönköpings län;Okänt;Ensamstående man utan barn;­­;­­;­­;­­
Jönköpings län;Okänt;Ensamstående man med barn;­­;­­;­­;­­
Jönköpings län;Okänt;Ensamstående kvinna utan barn;­­;­­;­­;­­
Jönköpings län;Okänt;Ensamstående kvinna med barn;­­;­­;­­;­­
Jönköpings län;Okänt;Sammanboende par utan barn;­­;­­;­­;­­
Jönköpings län;Okänt;Sammanboende par med barn;­­;­­;­­;­­
Aneby;Inrikes födda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Aneby;Inrikes födda;Ensamstående man utan barn;1284;1224;1523;1775
Aneby;Inrikes födda;Ensamstående man med barn;184;37;2;95
Aneby;Inrikes födda;Ensamstående kvinna utan barn;552;623;869;812
Aneby;Inrikes födda;Ensamstående kvinna med barn;447;202;158;109
Aneby;Inrikes födda;Sammanboende par utan barn;46;70;48;107
Aneby;Inrikes födda;Sammanboende par med barn;17;2;7;109
Aneby;En av registerledare/sambo utrikesfödd;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Aneby;En av registerledare/sambo utrikesfödd;Ensamstående man utan barn;1258;517;858;666
Aneby;En av registerledare/sambo utrikesfödd;Ensamstående man med barn;64;90;162;32
Aneby;En av registerledare/sambo utrikesfödd;Ensamstående kvinna utan barn;941;726;637;566
Aneby;En av registerledare/sambo utrikesfödd;Ensamstående kvinna med barn;250;264;216;128
Aneby;En av registerledare/sambo utrikesfödd;Sammanboende par utan barn;48;18;196;182
Aneby;En av registerledare/sambo utrikesfödd;Sammanboende par med barn;6;19;37;46
Aneby;Både registerledare/sambo utrikesfödda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Aneby;Både registerledare/sambo utrikesfödda;Ensamstående man utan barn;­­;­­;­­;­­
Aneby;Både registerledare/sambo utrikesfödda;Ensamstående man med barn;­­;­­;­­;­­
Aneby;Både registerledare/sambo utrikesfödda;Ensamstående kvinna utan barn;­­;­­;­­;­­
Aneby;Både registerledare/sambo utrikesfödda;Ensamstående kvinna med barn;­­;­­;­­;­­
Aneby;Både registerledare/sambo utrikesfödda;Sammanboende par utan barn;243;223;170;143
Aneby;Både registerledare/sambo utrikesfödda;Sammanboende par med barn;1197;1292;866;726
Aneby;Okänt;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Aneby;Okänt;Ensamstående man utan barn;­­;­­;­­;­­
Aneby;Okänt;Ensamstående man med barn;­­;­­;­­;­­
Aneby;Okänt;Ensamstående kvinna utan barn;­­;­­;­­;­­
Aneby;Okänt;Ensamstående kvinna med barn;­­;­­;­­;­­
Aneby;Okänt;Sammanboende par utan barn;­­;­­;­­;­­
Aneby;Okänt;Sammanboende par med barn;­­;­­;­­;­­
Gnosjö;Inrikes födda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Gnosjö;Inrikes födda;Ensamstående man utan barn;1275;1330;1397;1285
Gnosjö;Inrikes födda;Ensamstående man med barn;138;294;284;210
Gnosjö;Inrikes födda;Ensamstående kvinna utan barn;526;635;932;523
Gnosjö;Inrikes födda;Ensamstående kvinna med barn;245;271;42;34
Gnosjö;Inrikes födda;Sammanboende par utan barn;25;129;0;­­
Gnosjö;Inrikes födda;Sammanboende par med barn;46;43;­­;14
Gnosjö;En av registerledare/sambo utrikesfödd;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Gnosjö;En av registerledare/sambo utrikesfödd;Ensamstående man utan barn;1984;1063;669;726
Gnosjö;En av registerledare/sambo utrikesfödd;Ensamstående man med barn;230;26;147;106
Gnosjö;En av registerledare/sambo utrikesfödd;Ensamstående kvinna utan barn;557;767;978;1097
Gnosjö;En av registerledare/sambo utrikesfödd;Ensamstående kvinna med barn;632;743;681;1023
Gnosjö;En av registerledare/sambo utrikesfödd;Sammanboende par utan barn;­­;­­;­­;­­
Gnosjö;En av registerledare/sambo utrikesfödd;Sammanboende par med barn;­­;­­;19;­­
Gnosjö;Både registerledare/sambo utrikesfödda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Gnosjö;Både registerledare/sambo utrikesfödda;Ensamstående man utan barn;­­;­­;­­;­­
Gnosjö;Både registerledare/sambo utrikesfödda;Ensamstående man med barn;­­;­­;­­;­­
Gnosjö;Både registerledare/sambo utrikesfödda;Ensamstående kvinna utan barn;­­;­­;­­;­­
Gnosjö;Både registerledare/sambo utrikesfödda;Ensamstående kvinna med barn;­­;­­;­­;­­
Gnosjö;Både registerledare/sambo utrikesfödda;Sammanboende par utan barn;469;382;340;475
Gnosjö;Både registerledare/sambo utrikesfödda;Sammanboende par med barn;1928;1744;2146;2073
Gnosjö;Okänt;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Gnosjö;Okänt;Ensamstående man utan barn;­­;­­;­­;­­
Gnosjö;Okänt;Ensamstående man med barn;­­;­­;­­;­­
Gnosjö;Okänt;Ensamstående kvinna utan barn;­­;­­;­­;­­
Gnosjö;Okänt;Ensamstående kvinna med barn;­­;­­;­­;­­
Gnosjö;Okänt;Sammanboende par utan barn;­­;­­;­­;­­
Gnosjö;Okänt;Sammanboende par med barn;­­;­­;­­;­­
Mullsjö;Inrikes födda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Mullsjö;Inrikes födda;Ensamstående man utan barn;1670;1316;927;1618
Mullsjö;Inrikes födda;Ensamstående man med barn;8;24;7;146
Mullsjö;Inrikes födda;Ensamstående kvinna utan barn;1038;814;807;1171
Mullsjö;Inrikes födda;Ensamstående kvinna med barn;133;83;96;257
Mullsjö;Inrikes födda;Sammanboende par utan barn;66;98;20;21
Mullsjö;Inrikes födda;Sammanboende par med barn;85;45;116;147
Mullsjö;En av registerledare/sambo utrikesfödd;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Mullsjö;En av registerledare/sambo utrikesfödd;Ensamstående man utan barn;284;389;399;557
Mullsjö;En av registerledare/sambo utrikesfödd;Ensamstående man med barn;2;15;13;15
Mullsjö;En av registerledare/sambo utrikesfödd;Ensamstående kvinna utan barn;749;1127;1103;821
Mullsjö;En av registerledare/sambo utrikesfödd;Ensamstående kvinna med barn;142;86;199;324
Mullsjö;En av registerledare/sambo utrikesfödd;Sammanboende par utan barn;­­;81;58;5
Mullsjö;En av registerledare/sambo utrikesfödd;Sammanboende par med barn;­­;­­;­­;­­
Mullsjö;Både registerledare/sambo utrikesfödda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Mullsjö;Både registerledare/sambo utrikesfödda;Ensamstående man utan barn;­­;­­;­­;­­
Mullsjö;Både registerledare/sambo utrikesfödda;Ensamstående man med barn;­­;­­;­­;­­
Mullsjö;Både registerledare/sambo utrikesfödda;Ensamstående kvinna utan barn;­­;­­;­­;­­
Mullsjö;Både registerledare/sambo utrikesfödda;Ensamstående kvinna med barn;­­;­­;­­;­­
Mullsjö;Både registerledare/sambo utrikesfödda;Sammanboende par utan barn;120;85;293;351
Mullsjö;Både registerledare/sambo utrikesfödda;Sammanboende par med barn;258;293;200;467
Mullsjö;Okänt;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Mullsjö;Okänt;Ensamstående man utan barn;­­;­­;­­;­­
Mullsjö;Okänt;Ensamstående man med barn;­­;­­;­­;­­
Mullsjö;Okänt;Ensamstående kvinna utan barn;­­;­­;­­;­­
Mullsjö;Okänt;Ensamstående kvinna med barn;­­;­­;­­;­­
Mullsjö;Okänt;Sammanboende par utan barn;­­;­­;­­;­­
Mullsjö;Okänt;Sammanboende par med barn;­­;­­;­­;­­
Habo;Inrikes födda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Habo;Inrikes födda;Ensamstående man utan barn;1767;2012;2232;2636
Habo;Inrikes födda;Ensamstående man med barn;174;41;­­;­­
Habo;Inrikes födda;Ensamstående kvinna utan barn;346;288;137;631
Habo;Inrikes födda;Ensamstående kvinna med barn;376;292;223;156
Habo;Inrikes födda;Sammanboende par utan barn;22;25;193;203
Habo;Inrikes födda;Sammanboende par med barn;121;126;158;337
Habo;En av registerledare/sambo utrikesfödd;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Habo;En av registerledare/sambo utrikesfödd;Ensamstående man utan barn;1731;1112;931;549
Habo;En av registerledare/sambo utrikesfödd;Ensamstående man med barn;62;132;120;223
Habo;En av registerledare/sambo utrikesfödd;Ensamstående kvinna utan barn;728;723;553;525
Habo;En av registerledare/sambo utrikesfödd;Ensamstående kvinna med barn;403;176;342;584
Habo;En av registerledare/sambo utrikesfödd;Sammanboende par utan barn;75;110;­­;­­
Habo;En av registerledare/sambo utrikesfödd;Sammanboende par med barn;61;74;47;­­
Habo;Både registerledare/sambo utrikesfödda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Habo;Både registerledare/sambo utrikesfödda;Ensamstående man utan barn;­­;­­;­­;­­
Habo;Både registerledare/sambo utrikesfödda;Ensamstående man med barn;­­;­­;­­;­­
Habo;Både registerledare/sambo utrikesfödda;Ensamstående kvinna utan barn;­­;­­;­­;­­
Habo;Både registerledare/sambo utrikesfödda;Ensamstående kvinna med barn;­­;­­;­­;­­
Habo;Både registerledare/sambo utrikesfödda;Sammanboende par utan barn;222;286;93;98
Habo;Både registerledare/sambo utrikesfödda;Sammanboende par med barn;607;965;1278;1300
Habo;Okänt;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;1;­­;65;­­
Habo;Okänt;Ensamstående man utan barn;­­;­­;­­;­­
Habo;Okänt;Ensamstående man med barn;­­;­­;­­;­­
Habo;Okänt;Ensamstående kvinna utan barn;­­;­­;­­;­­
Habo;Okänt;Ensamstående kvinna med barn;­­;­­;­­;­­
Habo;Okänt;Sammanboende par utan barn;­­;­­;­­;­­
Habo;Okänt;Sammanboende par med barn;­­;­­;­­;­­
Gislaved;Inrikes födda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Gislaved;Inrikes födda;Ensamstående man utan barn;2155;1941;2198;2608
Gislaved;Inrikes födda;Ensamstående man med barn;42;155;73;115
Gislaved;Inrikes födda;Ensamstående kvinna utan barn;1293;1007;1140;1194
Gislaved;Inrikes födda;Ensamstående kvinna med barn;151;167;180;163
Gislaved;Inrikes födda;Sammanboende par utan barn;99;127;89;55
Gislaved;Inrikes födda;Sammanboende par med barn;206;186;116;73
Gislaved;En av registerledare/sambo utrikesfödd;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Gislaved;En av registerledare/sambo utrikesfödd;Ensamstående man utan barn;2434;1665;1702;1978
Gislaved;En av registerledare/sambo utrikesfödd;Ensamstående man med barn;170;186;160;254
Gislaved;En av registerledare/sambo utrikesfödd;Ensamstående kvinna utan barn;3443;3284;2810;2786
Gislaved;En av registerledare/sambo utrikesfödd;Ensamstående kvinna med barn;1288;1429;1452;1510
Gislaved;En av registerledare/sambo utrikesfödd;Sammanboende par utan barn;8;­­;­­;27
Gislaved;En av registerledare/sambo utrikesfödd;Sammanboende par med barn;66;123;269;154
Gislaved;Både registerledare/sambo utrikesfödda;Barnhushåll (sökande < 18 år) inkl. okänd hushållstyp;­­;­­;­­;­­
Gislaved;Både registerledare/sambo utrikesfödda;Ensamstående man utan barn;­­;­­;­­;­­
