Ekonomiskt bistånd, Antal biståndsmottagare 18 år och äldre, Ålder: 18-65+
Boxholm;Män;63;70;52;53
Boxholm;Kvinnor;75;75;59;73
Boxholm;Båda könen;138;145;111;126
Åtvidaberg;Män;111;98;83;93
Åtvidaberg;Kvinnor;82;69;71;72
Åtvidaberg;Båda könen;193;167;154;165
Finspång;Män;350;329;286;248
Finspång;Kvinnor;274;272;224;208
Finspång;Båda könen;624;601;510;456
Valdemarsvik;Män;53;53;78;88
Valdemarsvik;Kvinnor;34;43;60;75
Valdemarsvik;Båda könen;87;96;138;163
Linköping;Män;2430;2265;1976;1880
Linköping;Kvinnor;2408;2324;2129;2031
Linköping;Båda könen;4838;4589;4105;3911
Norrköping;Män;2082;1817;1734;1696
Norrköping;Kvinnor;2078;1882;1691;1644
Norrköping;Båda könen;4160;3699;3425;3340
Söderköping;Män;156;126;129;109
Söderköping;Kvinnor;114;104;89;91
Söderköping;Båda könen;270;230;218;200
Motala;Män;528;468;423;393
Motala;Kvinnor;496;462;421;402
Motala;Båda könen;1024;930;844;795
Vadstena;Män;76;69;61;41
Vadstena;Kvinnor;68;68;48;35
Vadstena;Båda könen;144;137;109;76
Mjölby;Män;271;245;240;259
Mjölby;Kvinnor;248;237;220;248
Mjölby;Båda könen;519;482;460;507
Jönköpings län;Män;4132;3487;3180;3277
Jönköpings län;Kvinnor;3674;3352;3009;3042
Jönköpings län;Båda könen;7806;6839;6189;6319
Aneby;Män;106;79;80;69
Aneby;Kvinnor;81;79;73;62
Aneby;Båda könen;187;158;153;131
Gnosjö;Män;123;94;87;72
Gnosjö;Kvinnor;81;75;78;71
Gnosjö;Båda könen;204;169;165;143
Mullsjö;Män;63;66;56;66
Mullsjö;Kvinnor;61;67;56;69
Mullsjö;Båda könen;124;133;112;135
Habo;Män;106;109;91;76
Habo;Kvinnor;67;57;50;67
Habo;Båda könen;173;166;141;143
Gislaved;Män;210;159;147;158
Gislaved;Kvinnor;219;182;160;152
Gislaved;Båda könen;429;341;307;310
Vaggeryd;Män;140;105;99;122
Vaggeryd;Kvinnor;96;75;72;91
Vaggeryd;Båda könen;236;180;171;213
Jönköping;Män;1364;1132;1056;1089
Jönköping;Kvinnor;1153;1028;902;923
Jönköping;Båda könen;2517;2160;1958;2012
Nässjö;Män;585;510;470;489
Nässjö;Kvinnor;644;573;507;513
Nässjö;Båda könen;1229;1083;977;1002
Värnamo;Män;257;202;188;214
Värnamo;Kvinnor;251;225;198;225
Värnamo;Båda könen;508;427;386;439
Sävsjö;Män;178;176;176;174
Sävsjö;Kvinnor;170;168;176;174
Sävsjö;Båda könen;348;344;352;348
Vetlanda;Män;319;274;265;316
Vetlanda;Kvinnor;255;264;270;270
Vetlanda;Båda könen;574;538;535;586
Eksjö;Män;337;299;252;227
Eksjö;Kvinnor;271;259;231;227
Eksjö;Båda könen;608;558;483;454
Tranås;Män;403;334;263;262
Tranås;Kvinnor;376;335;269;240
Tranås;Båda könen;779;669;532;502
Kronobergs län;Män;2427;2110;2008;2005
Kronobergs län;Kvinnor;2229;1984;1824;1892
Kronobergs län;Båda könen;4656;4094;3832;3897
Uppvidinge;Män;160;131;116;110
Uppvidinge;Kvinnor;145;111;108;103
Uppvidinge;Båda könen;305;242;224;213
Lessebo;Män;170;105;91;92
Lessebo;Kvinnor;135;99;75;81
Lessebo;Båda könen;305;204;166;173
Tingsryd;Män;174;146;126;118
Tingsryd;Kvinnor;155;144;102;93
Tingsryd;Båda könen;329;290;228;211
Alvesta;Män;293;297;268;281
Alvesta;Kvinnor;332;293;273;265
Alvesta;Båda könen;625;590;541;546
Älmhult;Män;331;289;245;172
Älmhult;Kvinnor;283;252;213;174
Älmhult;Båda könen;614;541;458;346
Markaryd;Män;62;36;27;26
Markaryd;Kvinnor;49;30;21;30
Markaryd;Båda könen;111;66;48;56
Växjö;Män;1023;932;975;1046
Växjö;Kvinnor;942;882;861;962
Växjö;Båda könen;1965;1814;1836;2008
Ljungby;Män;257;193;184;182
Ljungby;Kvinnor;225;196;194;208
Ljungby;Båda könen;482;389;378;390
Kalmar län;Män;2315;2023;1776;1731
Kalmar län;Kvinnor;1997;1887;1655;1694
Kalmar län;Båda könen;4312;3910;3431;3425
Högsby;Män;87;64;51;61
Högsby;Kvinnor;80;67;56;66
Högsby;Båda könen;167;131;107;127
Torsås;Män;89;92;66;65
Torsås;Kvinnor;71;76;48;51
Torsås;Båda könen;160;168;114;116
Mörbylånga;Män;75;59;61;45
Mörbylånga;Kvinnor;58;54;50;40
Mörbylånga;Båda könen;133;113;111;85
Hultsfred;Män;194;171;136;129
Hultsfred;Kvinnor;174;161;130;132
Hultsfred;Båda könen;368;332;266;261
Mönsterås;Män;163;122;104;109
Mönsterås;Kvinnor;138;121;94;96
Mönsterås;Båda könen;301;243;198;205
Emmaboda;Män;176;154;140;116
Emmaboda;Kvinnor;149;141;126;112
Emmaboda;Båda könen;325;295;266;228
Kalmar;Män;492;493;474;478
Kalmar;Kvinnor;447;487;448;464
Kalmar;Båda könen;939;980;922;942
Nybro;Män;218;203;165;183
Nybro;Kvinnor;179;163;145;169
Nybro;Båda könen;397;366;310;352
Oskarshamn;Män;296;234;206;208
Oskarshamn;Kvinnor;273;230;222;240
Oskarshamn;Båda könen;569;464;428;448
Västervik;Män;330;287;235;227
Västervik;Kvinnor;269;236;197;214
Västervik;Båda könen;599;523;432;441
Vimmerby;Män;131;86;88;61
Vimmerby;Kvinnor;120;86;84;70
Vimmerby;Båda könen;251;172;172;131
Borgholm;Män;99;91;79;79
Borgholm;Kvinnor;70;91;78;67
Borgholm;Båda könen;169;182;157;146
Gotlands län;Män;791;590;580;571
Gotlands län;Kvinnor;653;519;504;449
Gotlands län;Båda könen;1444;1109;1084;1020
Gotland;Män;791;590;580;571
Gotland;Kvinnor;653;519;504;449
Gotland;Båda könen;1444;1109;1084;1020
Blekinge län;Män;1706;1487;1297;1206
Blekinge län;Kvinnor;1359;1252;1171;1159
Blekinge län;Båda könen;3065;2739;2468;2365
Olofström;Män;37;45;43;63
Olofström;Kvinnor;28;37;27;60
Olofström;Båda könen;65;82;70;123
Karlskrona;Män;670;572;474;398
Karlskrona;Kvinnor;498;465;421;383
Karlskrona;Båda könen;1168;1037;895;781
Ronneby;Män;525;459;415;365
Ronneby;Kvinnor;456;400;387;354
Ronneby;Båda könen;981;859;802;719
Karlshamn;Män;368;316;286;299
Karlshamn;Kvinnor;304;286;265;281
Karlshamn;Båda könen;672;602;551;580
Sölvesborg;Män;113;105;93;88
Sölvesborg;Kvinnor;83;75;79;90
Sölvesborg;Båda könen;196;180;172;178
Skåne län;Män;19977;17129;15308;14653
Skåne län;Kvinnor;18936;16952;15227;14952
Skåne län;Båda könen;38913;34081;30536;29605
Svalöv;Män;126;105;83;86
Svalöv;Kvinnor;81;81;58;66
Svalöv;Båda könen;207;186;141;152
Staffanstorp;Män;129;118;126;127
Staffanstorp;Kvinnor;126;113;125;139
Staffanstorp;Båda könen;255;231;251;266
Burlöv;Män;227;193;177;154
Burlöv;Kvinnor;203;164;157;144
Burlöv;Båda könen;430;357;334;298
Vellinge;Män;85;68;­­;64
Vellinge;Kvinnor;76;68;­­;52
Vellinge;Båda könen;161;136;­­;116
Östra Göinge;Män;254;243;210;201
Östra Göinge;Kvinnor;236;235;195;185
Östra Göinge;Båda könen;490;478;405;386
Örkelljunga;Män;136;97;97;77
Örkelljunga;Kvinnor;131;116;115;102
Örkelljunga;Båda könen;267;213;212;179
Bjuv;Män;190;158;133;135
Bjuv;Kvinnor;202;169;130;145
Bjuv;Båda könen;392;327;263;280
Kävlinge;Män;151;156;132;143
Kävlinge;Kvinnor;114;122;107;126
Kävlinge;Båda könen;265;278;239;269
Lomma;Män;113;102;98;101
Lomma;Kvinnor;101;94;94;115
Lomma;Båda könen;214;196;192;216
Svedala;Män;171;166;146;146
Svedala;Kvinnor;148;130;143;139
